问题,类别
董秘:网传近日公司与全球领先的钒电池储能系统服务商、国内钒电池领域龙头企业大连融科签订战略合作协议，双方将共同投资建设钒电解液工厂，先期在攀建设年产2000立方米钒电解液生产线示范项目。请问是否属实，若情况属实，麻烦介绍一下具体情况，谢谢！,生产经营情况
董秘您好！关于注册地迁址一事贵司表述由原先的“长春方面极力挽留并与相关部门积极沟通”进展到现在的“迁址工作尚在办理过程中”，是否可以理解为长春方面相关部门与贵司已沟通完毕并同意从长春迁出，目前正在按程序办理中？谢谢！,公司基本状况
目前家电行业都在往智能化，高端化做，这对公司当前是有益的还是有害的，公司在家电行业市场份额会不会因为产品要求提高而损失部分市场,公司基本状况
在公司收购了控股股东手中的银根矿业股权之后，为何控股股东的股票质押率仍然超过90%？大股东到底有什么体外业务需要如此庞大的资金需求？,股东与股权变动
贵公司有多少子公司孙公司，是通过BOT模式建造的？有多少是通过PPP模式建造的？,公司基本状况
2019年农银投资溢价购买贵司子公司水务公司部分股权，贵司为何不将溢价部分确认为投资收益？这不是财务造假吗？,公司基本状况
公司 HJT和TOPCON 整线设备的产能情况如何,生产经营情况
请问贵公司正式改名成为中国稀土时间是什么时候,公司基本状况
董秘您好！多家饼干巨头宣布涨价，请问贵司的产品有涨价的吗？谢谢,公司基本状况
请问公司的5000吨薄荷醇项目目前进展如何，什么时候能出产品？,公司基本状况
请问1002车间生产哪些高端营养色素？,生产经营情况
董秘你好：请问截止9月20日，公司的股东人数是多少？,股东与股权变动
请问公司三季度的具体经营计划？,生产经营情况
公司对未来逆变器市场是否做了相关市场调研与规划，公司逆变器产品在相关产业中的竞争力如何？公司对近几年的光伏逆变器的市场预期及未来公司光伏逆变器在相关细分领域的市占率目标是多少？,公司基本状况
欧洲5560亿欧元新能源刺激方案跟特斯拉6000亿美元光伏屋顶项目是否会对公司的业绩带来积极的影响？公司目前光伏逆变器是否已经在积极开拓国内的客户群体？今年是否有拿下国内光伏逆变器订单的目标？,生产经营情况
董秘你好，公司储能金属外壳和结构件目前出货量如何，与哪些企业有供货合作？,生产经营情况
贵公司二季度利润大增，请问利润增长点是什么业务？,公司基本状况
四川路桥，成都路桥，重庆路桥，都开始战略转型，贵公司有何计划？新疆兵团有丰富的资源，有何计划？,生产经营情况
您好，贵公司的销售收入是哪个阶段确认的？这1.4的合同都会在3季度作销售收入的确认吗？,生产经营情况
近期国外天蓝气短缺 好多大厂都停工 二氧化碳价格飙升          贵公司作为国内第一大 二氧化碳生产商  有无关注国外市场 有没计划出口 谢谢,生产经营情况
请问公司的核心竞争力有没有形成高技术壁垒？公司的技术是其他企业无法掌握或者短期内无法掌握的？,生产经营情况
董秘你好，公司的主要国内竞争对手有哪些？为什么国内的销量很少？,生产经营情况
公司财务有测算过美元升值对人民币计价业绩的影响吗？大概是一个什么比例,生产经营情况
亲爱的董秘你好，东方精工在欧洲营收占比接近一半，目前欧洲出现能源危机，欧元对美元快速大幅度贬值，对公司营收和利润将会造成重大影响，公司如何妥善解决这方面问题？公司国内营收占比一直处于较低水平，公司将在哪一方面着手发力提升国内营收占比？公司回购计划进度缓慢，是否打算来年续作五亿元左右回购计划？,生产经营情况
贵公司要开展产业转型、升级，但财务数据显示每年的研发费用占营业收入不到3%，这能够支撑企业的转型升级吗？,生产经营情况
请问公司去年发布的回购报告书说回购书提到，董事会薪酬与考核委员会将尽快拟定员工持股计划或者股权激励计划草案，提交董事会、股东大会审议，公司将及时披露并履行相应的程序。请问这个回购股份的处理进展如何了，回购书说的尽快是多快? 公司是否存在操控股价操作股权激励价格的情况?,股东与股权变动
为什么在很多社区店铺还是看不到五谷道场的产品？公司在渠道通路的建设和维护的想法和战略是怎样的？,公司基本状况
万科，保利回购好几次了，请念在我们一直支持贵公司的份上，加强披露，赶紧回购股票，加快股权激励，尽快提升公司业绩，不要再让公司股价下滑了。谢谢。,股东与股权变动
请问关总，公司有被其它央企或私企并购的意愿或计划吗？？面临困境要大胆走出去，海昌是个很不错的公司，其管理层对公司发展思路很明确，希望反应给高层。,生产经营情况
华侨城负债1300亿请问一年利息要付多少？员工2万多平均薪酬20多万在上市/行业公司中属上游水平，一年50亿。管理、销售费用是多少？半年报显示营收180亿，扣非亏损2亿。是否说明，目前公司的经营己经负担不起这些支出？新董事长是不是有解决办法了，第三季报能否见到成效？,生产经营情况
公司号称亚洲文旅笫一，我只见过其它地产公司的文旅在某些榜上有名，却没有见过华侨城在地产销售\实力榜上有名。公司房地产在国内是什么地位？,生产经营情况
现在房地产发展不景气，公司可以从其他业务端切入，我提几个建议，比如搞搞屋顶光伏，BIPV，装配式建筑，或者切入民爆行业，不知道公司有没有多元化发展的想法,公司基本状况
自己在2021年1月买了平安银行的一款理财产品，本金65万，封闭期523天，业绩比较基准4.9%-5.5%。2022年6月25日，产品到期后，只拿到了3300元利息，跟预期的4-5万元利息完全不是一个量级。请问平安银行理财产品比较基准究竟是什么回事？,公司基本状况
董秘你好，麻烦披露一下最新的股东人数和机构户数，谢谢,股东与股权变动
pancake的技术壁垒一个是光学膜，一个是贴膜工艺，请问公司的光学膜是进口为主还是国产为主？ 贴膜工艺良率什么水平？ 谢谢,生产经营情况
公司有绿色建筑项目吗？,生产经营情况
请问贵公司在旅游酒店行业有什么关联？是否有相关业务,公司基本状况
请问贵公司建设中的塔中沙漠公路是否是光伏高速公路？贵公司是否有光伏高速公路建设计划？谢谢！,生产经营情况
董秘你好，公司是否涉及ACC自适应巡航系统的研发？,生产经营情况
董秘你好，公司的自动驾驶技术是否可以应用于港口货运车辆？,生产经营情况
你好，一种药是不是只有两家生产企业以上才可以集采？,生产经营情况
公司计划什么时间公布三季度业绩预告？截至到目前，公司在新冠方面具体哪些业务？,公司基本状况
公司生产的铅碳电池有什么优势？市场前景怎么样？预计什么时候开始销售。主要往哪里销售。国内同行业铅碳技术贵公司处于什么层面？盼董秘回复,生产经营情况
同为上海企业，请问和捷能智电有合作计划吗?,生产经营情况
贵公司三四季度订单情况如何，是否满产。问了为何都不正面回应问题？,生产经营情况
