请问2021年9月30日公司最新的股东人数和机构持股情况，谢谢	您好，请告诉我2021年9月30日该公司最新股东数量和机构持股情况。谢谢。	1
您好，请问贵公司是否生产电子烟领域相关产品。	请问贵公司生产电子烟领域的相关产品吗？	1
董秘你好，请问截止至8月11日的股东人数和机构数分别是多少？	董秘先生，您好，到8月11日，股东和机构各有多少？	1
请问，截至2021年10月29日，公司的股东数是多少？谢谢	请问到2021年10月29日，该公司的股东数量是多少？谢谢你，谢谢	1
请问公司有无加快提升产能计划？有无半年报预告？	该公司有没有计划加快提高产能？有半年一次的通知吗？	1
公司有edr产品吗	公司有EDR产品吗？	1
董秘您好请问贵公司和华为汽车有无实际合作，公司为特斯拉modelymodel3车型提供哪些产品。	您好，董秘，有没有与华为汽车的实际合作？特斯拉的ModelyModel 3车型提供哪些产品？	1
看起来公司目前处于成长期中,也很重视研发,是个不错的公司,请问公司在新产品研发方面有哪些规划？	这家公司正处于成长期，似乎非常重视研发，是一家不错的公司。新产品的开发计划是什么？	1
公司官网上溴已经为现货，卡龙酸酐为期货，是否代表公司具有这两种产品的生产技术和水平？谢谢	溴已在该公司网站有库存，碳酸酐为期货.这是否意味着该公司拥有这两种产品的生产技术和水平？谢谢你，谢谢	1
董秘您好，请问公司有涉及牙科用品、牙科医疗或牙科健康方面的业务吗？	请问董秘，贵公司有没有牙科产品、牙科保健或牙科保健方面的业务？	1
请问截止到11月19日的股东总数？	能告诉我11月19日之前的股东总数吗？	1
请问公司最近股价出现连续暴跌，请问公司现在的生产经营情况是否正常？客户订单情况是否正常？公司除了瑞声声学以外，有没有开拓其他几千万级别的大客户？公司有没有做好订单风险管控来规避瑞声声学的单一大客户风险？公司目前正在洽谈的激光器模组服务的客户有哪些？谢谢	告辞了。公司的股价最近暴跌了。公司的生产经营正常吗？您的订单正常吗？除了瑞声，该公司还开拓了成千上万的其他大客户吗？公司是否在做订单管理，以避免瑞声单一大客户的风险？该公司目前正在谈判的激光模组服务客户是什么？谢谢你，谢谢	1
唐总您好，（续）由于目前市场存在降关税预期，公司下游客户是否有出现推迟订单现象，对公司相关影响如何？谢谢	唐先生您好，(续)由于目前市场预期关税下调，企业下游客户下单是否有延误，对公司有何影响？谢谢你，谢谢	1
董秘您好，辛苦了，请问截止7月9日收盘的股东人数，谢谢，祝工作顺利！	董秘，您好。谢谢你努力工作。我想问一下7月9日收盘价的股东人数。谢谢。我希望工作的一切都顺利。	1
董秘你好 请问公司有做军工电子产品吗？	董秘，您好。这家公司生产军用电子产品吗？	1
请问，截至2021年12月10日，公司的股东数是多少？谢谢	请问到2021年12月10日，该公司的股东人数是多少？谢谢你，谢谢	1
您好！2020年,公司承接了多个省级5G通信工程设计项目,包括辽宁联通、天津联通、山东联通和内蒙古联通,辽宁移动、辽宁铁塔地铁5G覆盖等5G通信工程设计项目。2021年是否新增其他省份的项目，请问贵司5G项目订单是否充足，谢谢	您好！2020年，公司承接多个省级5G通信工程设计项目，包括辽宁联通、天津联通、山东联通和内蒙古联通、辽宁移动、辽宁铁塔地铁5G覆盖等5G通信工程设计项目。2021年还有其他省份的新项目吗？你的5G项目订单够了吗？谢谢。	1
董秘您好，请问截止10月29日收盘的股东人数，谢谢，祝一切顺利！	董秘你好。请问10月29日当天收盘的股东是多少钱？谢谢。祝你一切顺利。	1
您好，请介绍下公司现有的各种产能，以及新增的各种产能，投产时间。谢谢。	您好，请介绍一下公司现有产能，以及新增产能和投产时间。谢谢。	1
您好,请问公司何时复工复产,公司对疫情期间有何应对方法?目前公司订单有多少??	请问公司什么时候复产，应对疫情的公司做什么？那家公司现在有多少订单？	1
问下今年医保集采时间大概啥时候？公司产品受集采影响大不大？	请问今年医保的收取时间是什么时候？公司的产品受收藏的影响很大吗？	1
您好，董秘，最近元宇宙火爆，且看到很多同类MCU公司宣布自己的产品会应用到相关产业链，请问贵公司的产品是否也会应用到相关产业链？是否会应用到VR/AR当中？	您好，董秘密、梅塔巴斯最近很受欢迎，同样的MCU公司也很常见，宣布它们的产品适用于相关产业链。您的产品是否也应用于相关产业链？是否适用于VR/AR？	1
请问截止2021年12月10日收盘，公司的股东户数是多少？希望能够及时回复，谢谢。	截至2021年12月10日，公司股东户数有多少？我希望你能马上回复。谢谢。	1
公司招股书中披露有甲醇制氢车间，产量多少，谢谢	根据该公司的招股说明书，有甲醇制氢工厂。产量是多少？谢谢。	1
公司实控人是否有转让股份的意图？谢谢	公司的实际控制人是否有转让股份的意义？谢谢你，谢谢	1
公司上市以来，新设了很多控股51%的公司，为什么不是100%控股？公司是否对另外49%的交易对手有充分的考察，未来在拓展业务的过程中，是否还面临和较多的交易对手信息不对称的风险？	上市以来，51%的控股公司多成立了，为什么不设立100%持股呢？该公司是否充分审查了其他49%的交易对手，今后在扩大业务的过程中会不会面临更多交易对手的信息和不对称风险？	1
截止4月8日公司股东人数是多少？谢谢	截至4月8日，股东人数是多少？谢谢你，谢谢	1
尊敬的董秘你好！ 贵公司7月份产品有机硅价格从每砘3万元左右涨到9月份6万元左右，涨幅巨大是否对公司三季度业绩起到积极作用？谢谢	尊敬的董秘先生您好。贵公司产品的有机硅价格从7月份的每公顷3万元左右上升到9月份的6万元左右。这种大的增长是否对公司第三季度的业绩产生了积极的影响？谢谢你，谢谢	1
贵公司的爱克EXC-ECCP4.0云控平台能不能应用到元宇宙上面。公司和中青宝有没有建立战略合作关系。公司的各种专利能不能应用上虚拟VR上。	贵公司的IKE EXC-ECCP4.0云控制平台是否适用于元巴斯？公司与中青宝是否建立了战略合作关系。该公司的各种专利均可应用于虚拟VR。	1
近期各上市公司由于原材料价格上涨、人工及运输成本提高，都对自家产品上调了出厂价格，请问贵公司产品是否也相应对出厂价格进行调整？	近期，由于原材料价格、人工成本和运输成本的上涨，所有上市公司都提高了本公司产品的出厂价格。你们的产品也会相应调整出厂价格吗？	1
国家发布《“十四五”冷链物流发展规划》，贵公司拥有铁路冷链独特优势，招股说明书中也提到募集资金有投入冷链物流，请问目前是否有具体的发展战略部署、规划和调整？	国家发布“冷链物流发展第十四个五年计划”贵公司在铁路冷链方面具有独特的优势。招股书中还提到，资金投向冷链物流。目前有没有具体的发展战略、规划、调整？	1
董秘您好，公司有人脑工程方面的产品或技术吗	请问董秘，公司有没有脑部工程的产品或技术？	1
您好，请问董秘，中钢国际是否有电力行业低碳发展相关的业务或者订单？	请问董秘，中钢国际是否有涉及电力行业低碳发展的业务或订单？	1
您好，请问公司年产5万吨乳酸项目试车情况如何？预计何时可实现量产？谢谢！	请问年产5万吨乳酸项目投产情况如何？大规模生产计划什么时候实现？谢谢。	1
公司产品感觉高大尚，也很神秘，既然上市是就应该是公众公司，建议公司在合理合规的情况下作好信批。	该公司的产品觉得高贵神秘，既然推出应该是上市公司，建议公司在合理合规的情况下进行信守。	1
董秘您好 请问公司产品是否配置于新能源汽车或者智能家居用品？	您好，董秘，该公司的产品适用于新能源汽车吗？还是适用于智能家居产品？	1
